miRNA名称,Adrenocortical carcinoma,Bladder urothelial carcinoma,Breast invasive carcinoma,Cervical and endocervical cancers,Cholangiocarcinoma,Colon adenocarcinoma,Colorectal adenocarcinom,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,Esophageal carcinoma,FFPE Pilot Phase Ⅱ,Glioblastoma multiforme,Glioma,Head  and Neck squamous cell carcinoma,Kidney Chromophobe,Kidney renal clear cell carcinoma,Kidney renal papillary cell carcinoma,Brain Lower Grade Glioma,Liver hepatocellular carcinoma,Lung adenocarcinoma,Lung squamous cell carcinoma,Mesothelioma,Ovarian serous cystadenocarcinoma,Pancreatic adenocarcinoma,Pheochromocytoma and Paraganglioma,Prostate adenocarcinoma,Rectum adenocarcinoma,Sarcoma,Skin Cutaneous Melanoma,Stomach adenocarcinoma,Stomach and Esophageal carcinoma,Testicular Germ Cell Tumors,Thyroid carcinoma,Thymoma,Uterine Corpus Endometrial Carcinoma,Uterine Carcinosarcoma
hsa-let-7b-5p,10223.0,10595.06,26545.76,17171.36,15314.87,9409.16,9149.71,7902.31,10340.4,22840.18,15581.5,14493.28,17580.39,11322.27,11881.59,6898.66,14482.93,8217.62,18058.35,16631.4,12009.65,87623.92,19200.45,6029.32,8719.38,8395.25,23455.23,23409.96,10581.2,10505.28,7493.18,10607.39,45186.79,15223.86,6257.67
hsa-miR-155-5p,86.18,404.66,441.86,600.16,227.78,328.95,328.04,8927.64,441.19,342.3,25.86,34.46,731.76,48.86,526.25,196.39,34.54,272.34,456.75,536.07,465.11,325.23,233.28,28.99,99.93,325.39,546.93,1688.92,564.69,525.75,812.68,272.33,707.73,433.02,326.98
hsa-miR-27b-3p,500.66,2070.06,662.93,2742.34,2051.32,1331.1,1316.06,370.2,2035.42,1107.03,2388.36,747.77,2651.85,1423.2,1071.74,1473.09,732.17,2444.72,1849.89,2147.99,1593.44,1144.03,1800.93,1029.22,1619.09,1272.33,1140.57,1190.95,1791.76,1868.59,703.85,3000.15,892.05,1773.61,988.79
hsa-miR-18a-5p,4.82,35.94,11.31,26.12,7.99,22.44,23.56,51.54,40.27,24.08,7.66,4.68,25.24,3.39,5.35,5.23,4.65,24.19,13.05,29.38,7.63,0.55,7.77,3.84,4.69,26.83,9.3,12.35,40.15,40.19,82.88,5.17,30.32,29.2,125.84
hsa-miR-27a-3p,660.84,2069.08,1117.84,2678.05,1352.73,1460.85,1356.5,962.42,1923.32,1475.56,183.15,309.29,3324.52,562.21,727.45,1002.21,310.49,692.94,1556.17,2345.01,1241.59,544.28,1493.18,782.17,537.02,1053.07,1011.07,1470.4,1594.06,1697.87,669.46,1539.24,876.25,1497.79,837.54
hsa-miR-30e-5p,7372.43,5582.37,6347.78,6326.13,8116.19,2583.79,2691.04,12249.9,4863.55,7121.67,7301.81,4042.27,5072.48,12514.21,8174.86,8102.87,4011.28,10174.78,6064.55,6425.09,7878.61,332.91,4034.62,4123.37,4541.71,3002.88,5580.5,3625.92,4576.12,4666.74,8637.28,12540.45,18158.94,6963.02,14227.14
hsa-miR-18b-5p,0.15,1.11,0.5,1.43,0.38,2.01,1.88,1.42,0.49,0.45,0.34,0.36,0.73,0.38,0.3,0.32,0.36,0.56,0.78,1.08,0.14,0.06,0.15,0.14,1.03,1.48,0.31,1.07,0.82,0.71,3.15,0.35,3.48,2.25,1.86
hsa-miR-106b-5p,127.27,464.85,252.78,472.15,193.84,251.44,251.07,539.62,431.09,245.49,213.55,192.86,330.93,105.27,134.71,183.12,192.67,278.35,275.33,360.74,232.03,28.63,141.42,132.72,183.88,249.98,182.09,241.41,320.92,355.66,635.07,197.34,612.01,488.08,885.56
hsa-miR-373-3p,0.34,1.28,0.08,0.03,0.31,0.04,4.8,0.05,27.18,8.32,0.1,0.11,0.1,0.04,0.04,0.12,0.11,5.91,3.9,1.28,0.11,0.09,0.03,0.03,0.09,18.64,0.88,1.71,13.05,17.5,4508.36,0.37,10.19,0.16,0.39
hsa-miR-133a-3p,2.04,38.85,45.79,12.15,6.78,22.11,23.1,15.95,43.73,25.86,29.16,7.54,504.21,4.07,7.68,3.56,7.34,5.63,10.2,8.47,34.13,10.51,10.91,8.09,136.69,25.97,196.57,7.44,64.26,57.78,38.61,28.92,3.79,15.77,908.25
hsa-miR-708-5p,19.25,56.51,42.61,72.84,8.36,16.54,19.01,27.82,67.9,34.86,142.21,123.19,99.17,7.99,31.58,13.73,123.01,3.0,33.13,114.59,47.03,17.64,39.42,24.52,8.79,26.2,38.44,27.08,27.91,40.52,72.65,50.57,52.87,87.54,136.19
hsa-miR-424-5p,643.94,117.81,159.38,195.94,185.86,118.66,133.94,132.07,72.68,153.83,27.03,44.38,107.13,243.58,503.67,100.98,44.55,183.01,85.77,73.92,122.63,4.99,107.4,48.61,27.8,178.36,240.22,89.08,88.53,85.53,317.67,464.07,94.61,306.72,330.71
hsa-miR-372-3p,0.92,8.51,0.68,0.26,0.11,0.47,19.0,0.27,320.94,37.63,0.3,0.94,0.42,0.32,0.27,0.41,0.94,52.69,71.94,10.18,0.63,0.43,0.08,0.15,1.48,72.9,7.28,4.93,83.9,158.63,15833.53,2.43,82.59,1.2,1.59
hsa-miR-20a-5p,156.41,528.09,257.89,526.63,387.92,470.78,537.65,1560.51,704.92,646.2,182.37,238.22,479.91,131.35,169.57,276.83,238.75,746.58,240.7,565.55,344.44,20.85,210.09,96.24,253.87,732.09,256.2,442.61,501.18,565.42,1367.09,254.68,2029.01,391.81,1928.21
hsa-miR-506-3p,422.14,0.6,0.31,1.16,0.07,0.3,0.46,0.1,0.46,0.08,0.04,0.06,1.35,0.93,2.05,1.05,0.06,0.28,0.88,1.55,2.8,27.19,0.09,3.2,0.71,0.92,0.67,247.89,0.18,0.27,25.93,0.77,0.77,1.36,1.77
hsa-miR-335-5p,13.98,12.63,20.64,7.94,10.69,14.48,16.68,7.19,7.69,7.04,41.5,24.16,6.87,3.99,6.91,7.18,23.95,11.75,12.55,12.51,53.33,0.19,16.96,35.33,7.58,23.08,17.58,4.42,8.05,7.94,67.73,15.51,24.34,25.5,60.7
hsa-miR-519d-3p,0.08,9.99,0.18,0.13,0.18,0.03,0.03,0.4,1.89,19.97,0.18,0.11,0.37,0.12,0.03,0.4,0.11,6.59,0.58,0.38,0.05,0.4,0.08,0.05,0.03,0.02,1.09,6.64,1.43,1.57,107.28,1.52,161.11,0.08,0.79
hsa-miR-454-3p,10.56,9.98,10.06,10.29,6.65,4.7,5.62,15.5,11.3,6.0,9.97,10.49,8.91,2.77,8.68,6.35,10.49,7.46,6.54,8.68,9.83,0.26,4.87,10.5,5.16,8.3,7.68,10.04,8.11,9.11,17.02,7.52,18.53,9.93,32.85
hsa-let-7c-5p,1785.49,1099.7,3108.16,3467.01,1999.75,557.95,597.74,487.42,1489.22,2017.54,10864.08,8242.96,2291.95,1741.69,2055.35,2030.82,8218.05,2684.59,1592.16,1840.89,3108.43,17720.97,2384.12,1067.25,6838.39,713.43,9084.56,2024.5,1572.36,15546.15,4582.82,5567.06,9161.63,2510.66,4499.89
hsa-miR-142-3p,589.24,1474.63,2715.2,2494.04,2285.5,1199.72,1250.82,25264.61,1327.69,1930.65,282.97,284.19,2269.14,657.18,2364.55,1193.47,284.21,1711.24,2444.16,3239.09,1850.8,4.33,1851.22,204.88,583.19,1399.42,1253.86,1491.1,3026.61,2490.96,5376.01,1782.79,28780.64,1585.95,810.13
hsa-miR-23c,0.23,0.59,0.28,0.6,2.18,0.0,0.0,0.21,0.6,0.52,0.26,0.14,0.82,0.52,0.47,0.73,0.14,1.79,0.9,0.9,0.97,0.0,0.77,0.95,1.7,0.0,1.01,0.5,1.26,1.05,0.28,1.63,0.51,0.78,0.22
hsa-miR-181b-5p,647.85,377.81,405.09,295.1,673.5,236.93,249.13,694.87,342.95,597.9,2808.41,1003.95,331.24,191.74,320.7,304.55,986.8,227.68,754.15,513.29,393.52,667.68,556.3,228.88,67.81,284.59,669.3,1661.46,253.77,281.89,622.96,1181.85,3314.9,355.21,1259.88
hsa-miR-181d-5p,14.69,24.26,28.89,17.69,26.14,29.92,32.21,9.92,18.98,83.64,95.69,80.58,14.02,7.27,11.2,20.45,80.44,7.1,25.34,25.2,23.26,61.28,29.67,58.72,13.89,38.87,28.78,29.2,19.64,19.43,42.12,64.01,78.27,48.52,56.5
hsa-miR-193b-3p,217.14,164.98,133.93,142.69,90.74,31.54,53.27,100.33,96.01,92.13,63.97,29.12,172.42,43.82,41.85,45.28,28.78,198.19,75.8,124.67,64.37,279.41,52.15,19.93,33.6,46.12,78.12,107.89,50.13,64.59,108.34,25.7,171.17,90.73,66.59
hsa-miR-141-3p,4.54,1767.49,1042.22,1213.89,191.09,624.8,679.41,65.91,1487.27,1810.62,2.27,1.18,961.15,764.93,58.58,93.97,1.17,46.14,909.69,1335.46,12.59,26.62,841.86,6.95,979.24,838.2,18.16,7.48,1083.72,1210.95,1060.68,1213.73,1420.14,1775.73,1264.31
hsa-miR-302b-3p,0.02,0.02,0.0,0.03,0.01,0.01,0.1,0.1,0.11,0.0,0.47,0.3,0.02,0.04,0.03,0.04,0.3,0.14,0.01,0.05,2.34,0.0,0.04,0.03,0.0,0.0,0.06,0.06,3.55,2.47,5067.94,0.02,0.01,1.67,0.33
hsa-miR-30b-5p,441.94,463.12,511.44,349.99,1014.55,279.84,290.47,686.9,438.11,463.12,405.41,281.42,314.82,983.39,587.36,629.28,280.24,724.4,593.04,477.14,386.03,63.62,353.3,354.74,612.32,321.4,203.33,1028.85,432.62,434.35,284.77,763.76,701.9,547.36,497.8
hsa-miR-411-5p,77.35,9.32,6.71,5.99,9.27,8.95,9.29,2.91,6.35,3.79,77.48,13.99,12.3,2.4,2.24,1.45,13.39,12.72,5.86,6.57,10.76,0.62,11.54,103.6,5.5,10.29,46.61,3.31,7.86,7.39,109.52,2.34,20.78,5.63,27.63
hsa-miR-154-5p,66.68,5.5,5.62,3.56,6.56,2.21,2.39,1.59,3.67,4.08,37.01,7.18,3.62,1.37,2.14,0.89,6.9,6.05,3.3,4.6,8.31,3.06,11.51,122.7,3.03,2.91,24.95,2.9,4.35,4.14,47.69,1.28,15.72,3.65,30.16
hsa-miR-328-3p,248.18,26.45,59.76,18.33,31.36,15.41,16.8,46.11,13.78,66.93,625.51,191.72,16.68,53.92,70.74,66.52,187.6,35.94,61.17,44.66,35.06,548.52,31.33,356.17,18.32,20.84,52.25,193.17,19.04,17.38,54.32,157.12,177.85,55.74,72.17
