lncRNA名称 adipose adrenal brain brain_R breast colon foreskin_R heart hela_R HLF_1_R HLF_2_R kidney liver liver_R lung lymphNode ovary placenta_R prostate skeltalMuscle testis testis_R thyroid leukocyte
NONHSAT004506.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.276758 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
NONHSAT004509.2 0.0 0.0 0.0 0.0 0.0 0.140175 0.0 0.0 0.0 0.0 0.0 0.892986 0.0 0.0 0.0 0.0 0.56746 0.0 0.0 0.0 0.617844 0.142579 0.0 0.0
NONHSAT004511.2 0.0 0.0 0.0 0.0 0.785124 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.260231 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.545924 0.0
NONHSAT004513.2 0.0 0.242408 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0034533 0.0 0.0 0.520995 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
NONHSAT004517.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.214977 0.00769978 0.0 0.243412 0.0 0.0 0.0 0.0
NONHSAT004528.2 0.0 0.0 0.301626 0.0 0.0 0.0 0.0 0.0 0.371618 0.0 0.0 0.0 0.0 0.0 0.251728 0.0 0.64014 0.0 0.0 0.314594 0.0 0.493385 0.0 0.0
NONHSAT004776.2 0.0 2.48539 1.43797 0.690271 0.136201 0.0 0.0 0.328277 1.18757 0.180658 0.178235 0.716775 0.302636 0.0 0.0 2.14841 0.584793 0.889257 2.47831 1.0871 2.94367 1.63173 0.916527 2.43011
NONHSAT004820.2 0.164722 0.0 0.0 0.0 0.0 0.0 0.0 0.254302 0.205934 0.0 0.0 0.0 0.471505 0.0 0.0 0.0 0.00545307 0.0 0.0 0.0 0.250465 0.0 0.0272401 0.0
NONHSAT004829.2 0.0 0.0596436 0.0 0.0 0.0 0.143373 0.239696 0.0 0.0 0.0 0.0 0.0139031 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.22771 0.0 0.0 0.0
NONHSAT005088.2 1.84752 2.23637 1.56138 1.04491 1.71726 1.0178 0.861316 0.615668 0.876897 1.48301 1.63201 2.02108 0.838492 0.114838 0.902184 2.5439 3.72835 1.40524 2.04159 1.30098 2.03809 3.04292 1.86192 1.47493
NONHSAT005142.2 0.0806573 3.76955 1.93322 2.06309 0.36233 0.17536 0.0 0.0959449 0.0 0.0611847 0.0302644 0.245081 0.263925 0.0 3.55685 14.8112 0.438012 0.0586203 0.250722 0.0 0.351739 0.141378 0.118371 12.9982
NONHSAT005182.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.109675 0.810536 0.0 0.0 0.17917 0.0 0.0 0.0
NONHSAT005183.2 0.962246 2.88975 2.25011 0.0892506 1.32663 2.41008 0.767229 6.43529 3.13568 2.48848 3.19007 0.642558 2.68905 0.0115843 1.65567 0.574183 3.1676 0.00110787 3.59403 1.15758 5.238 1.57441 3.8843 0.000101733
NONHSAT005285.2 0.0 0.1622 0.30678 0.408966 0.104797 0.599774 0.0 0.0 0.0 0.0 0.0 0.166104 0.0 0.0 0.921792 0.7283 0.161465 0.0 0.749352 0.0287183 0.470052 0.701303 0.0 0.0
NONHSAT005528.2 0.344951 0.0 0.405662 0.814358 0.13448 0.441957 1.24385 0.474926 0.800984 1.16411 1.05209 1.12493 0.0549726 0.0247236 0.327309 0.15252 0.444256 0.989316 1.06052 0.0 0.350651 0.131818 0.721946 0.671348
NONHSAT005529.2 0.476267 0.942833 0.0102967 0.147298 0.56881 0.206328 0.0531838 0.0 0.327033 0.0315637 0.408528 0.448331 0.111075 0.0 0.308773 0.181248 0.465675 0.334299 0.0269322 0.441385 0.264659 0.299452 0.0 0.0932019
NONHSAT005534.2 0.0 0.0874229 0.0 0.0 0.127317 0.0653586 0.0 0.0736261 0.0 0.0 0.0 0.0 0.0616744 0.0 0.0 0.265174 0.0362238 0.0 0.0790976 0.0 0.1253 0.0 0.109642 0.0
NONHSAT005990.2 0.00120291 0.00515992 0.859916 0.0356362 0.47727 0.948177 0.0 0.0657101 0.0 0.0 0.0 0.558427 0.0124085 0.0 0.0 0.0852633 0.88636 0.0317853 0.0021609 0.0 1.1201 0.0 1.15321 0.0
